Unnamed: 0,antecedents,consequents,support,antecedents categories,consequents categories
0,frozenset({'yogurt'}),frozenset({'whole milk'}),0.1506,dairy,dairy
19,frozenset({'whole milk'}),frozenset({'yogurt'}),0.1506,dairy,dairy
