Unnamed: 0,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents categories,consequents categories
0,frozenset({'yogurt'}),frozenset({'whole milk'}),0.283,0.4582,0.1506,0.5322,1.1615,0.0209,1.1582,0.1939,dairy,dairy
19,frozenset({'whole milk'}),frozenset({'yogurt'}),0.4582,0.283,0.1506,0.3287,1.1615,0.0209,1.0681,0.2566,dairy,dairy
